StockCode,Description,transaction_count,total_units_sold,min_price,max_price,median_price,mean_price,std_price,cost_price,fixed_costs,competitor_prices,category,month,rating,ad_spend
16049,Teatime Gel Pens Asst,32,3169,0.12,0.83,0.42,0.3819,0.2526,0.252,0.0126,"[0.12, 0.42, 0.81, 0.83]",Sports,11,3.9,143.22
16052,Teatime Push Down Rubber,36,850,0.19,0.86,0.42,0.5761,0.2353,0.252,0.0126,"[0.19, 0.42, 0.83, 0.84, 0.86]",Beauty,2,5.0,4999.96
16053,Popart Col Ballpoint Pen Asst,10,4313,0.03,0.21,0.21,0.174,0.0759,0.126,0.0063,"[0.03, 0.21]",Electronics,8,3.4,773.92
16054,Popart Rect Pencil Sharpener Asst,39,1210,0.12,0.42,0.12,0.1738,0.1166,0.072,0.0036,"[0.12, 0.42]",Clothing,7,3.4,4182.86
16212,Funky Girlz Asst Magnetic Memo Pad,44,375,0.65,7.78,0.65,1.6077,2.4383,0.39,0.0195,"[0.65, 7.62, 7.78]",Clothing,6,3.8,85.1
16216,Letter Shape Pencil Sharpener,89,4158,0.06,1.3,0.16,0.2196,0.3173,0.096,0.0048,"[0.06, 0.12, 0.16, 0.42, 1.25, 1.28, 1.3]",Electronics,3,4.5,4987.11
16218,Cartoon  Pencil Sharpeners,101,4632,0.06,2.17,0.16,0.5035,0.7917,0.096,0.0048,"[0.06, 0.12, 0.16, 0.42, 2.08, 2.13, 2.17]",Sports,11,3.9,1674.71
16219,House Shape Pencil Sharpener,129,3358,0.06,1.74,0.21,0.5646,0.5304,0.126,0.0063,"[0.06, 0.16, 0.21, 0.83, 1.67, 1.7, 1.74]",Beauty,2,5.0,4843.76
16225,Rattle Snake Eggs,174,1530,0.38,3.43,1.25,1.6062,0.9762,0.75,0.0375,"[0.38, 0.39, 0.42, 0.83, 0.85, 1.06, 1.25, 1.28, 1.3, 3.29, 3.36, 3.43]",Beauty,8,3.6,2363.65
16235,Recycled Pencil With Rabbit Eraser,325,5943,0.16,0.47,0.21,0.3097,0.1083,0.126,0.0063,"[0.16, 0.21, 0.42, 0.43, 0.47]",Sports,5,3.5,34.02
16236,Kitty Pencil Erasers,271,2666,0.16,0.43,0.21,0.3062,0.1077,0.126,0.0063,"[0.16, 0.21, 0.42, 0.43]",Home,8,4.5,4735.46
16237,Sleeping Cat Erasers,606,10938,0.16,0.43,0.21,0.2959,0.1074,0.126,0.0063,"[0.16, 0.21, 0.42, 0.43]",Sports,10,3.6,3850.57
16238,Party Time Pencil Erasers,248,2525,0.16,0.43,0.21,0.3106,0.108,0.126,0.0063,"[0.16, 0.21, 0.42, 0.43]",Electronics,12,4.5,3765.52
16239,Ballerina Heart Decoration.,21,347,1.25,2.95,2.95,2.6557,0.5035,1.77,0.0885,"[1.25, 2.51, 2.57, 2.95]",Clothing,3,4.5,1379.34
16254,Transparent Acrylic Tape Dispenser,41,941,0.25,1.7,1.63,1.2666,0.4321,0.978,0.0489,"[0.25, 0.85, 1.63, 1.66, 1.7]",Sports,9,3.9,981.64
16259,Piece Of Camo Stationery Set,55,5473,0.08,0.21,0.21,0.1462,0.0656,0.126,0.0063,"[0.08, 0.21]",Home,5,2.9,1072.39
17001,Heavens Scent Fragrance Oils Asstd,23,1211,0.21,0.29,0.29,0.2796,0.0275,0.174,0.0087,"[0.21, 0.29]",Sports,11,4.7,30.91
17003,Brocade Ring Purse,476,71430,0.14,0.83,0.29,0.3028,0.1333,0.174,0.0087,"[0.14, 0.16, 0.19, 0.21, 0.25, 0.29, 0.32, 0.39, 0.42, 0.43, 0.63, 0.83]",Electronics,1,3.6,674.23
17021,Namaste Swagat Incense,102,4436,0.24,0.3,0.3,0.2953,0.0162,0.18,0.009,"[0.24, 0.3]",Sports,3,4.2,4049.14
17033,"Brocade Purse,Small Arch Button",69,3280,0.21,0.29,0.29,0.2854,0.0188,0.174,0.0087,"[0.21, 0.29]",Home,1,4.3,3608.3
17038,Porcelain Budah Incense Holder,56,2659,0.07,0.85,0.1,0.4227,0.3715,0.06,0.003,"[0.07, 0.1, 0.81, 0.83, 0.85]",Sports,4,4.6,1720.65
17039,Inlaid Wood Incense Holder,43,3707,0.21,0.65,0.29,0.3774,0.1696,0.174,0.0087,"[0.21, 0.29, 0.64, 0.65]",Clothing,3,4.1,190.47
17096,Assorted Laquered Incense Holders,79,6243,0.17,0.43,0.42,0.3209,0.1156,0.252,0.0126,"[0.17, 0.21, 0.42, 0.43]",Electronics,6,3.1,921.21
17178,Flat Palm T-Light Holder,25,133,0.85,1.25,1.25,1.234,0.08,0.75,0.0375,"[0.85, 1.25]",Beauty,8,4.0,4340.29
17181,Circle Of Friends Candle Holder,68,354,0.85,5.17,5.06,3.7537,1.5421,3.036,0.1518,"[0.85, 2.55, 5.06, 5.17]",Beauty,7,4.4,804.07
18007,Essential Balm 3.5G Tin In Envelope,79,11424,0.06,0.43,0.18,0.2453,0.1195,0.108,0.0054,"[0.06, 0.11, 0.18, 0.42, 0.43]",Clothing,11,3.2,3791.97
20615,Blue Spotty Passport Cover,204,647,0.75,4.3,2.1,2.6461,1.2515,1.26,0.063,"[0.75, 0.85, 1.63, 1.66, 1.7, 2.1, 4.13, 4.21, 4.3]",Electronics,3,4.5,1267.18
20616,Cherry Blossom Passport Cover,124,287,0.75,4.3,1.66,2.1326,1.0922,0.996,0.0498,"[0.75, 1.63, 1.66, 1.7, 2.1, 4.13, 4.21, 4.3]",Sports,3,3.8,3629.23
20617,First Class Passport Cover,106,499,0.83,4.3,2.1,2.4152,0.9365,1.26,0.063,"[0.83, 1.63, 1.66, 1.69, 2.1, 4.13, 4.21, 4.3]",Sports,8,3.1,2321.12
20618,Queen Of The Skies Passport Cover,139,299,1.63,4.3,2.1,2.2763,0.8454,1.26,0.063,"[1.63, 1.66, 1.69, 2.1, 4.13, 4.21, 4.3]",Beauty,1,5.0,1247.02
20619,Tropical Passport Cover,196,580,0.75,4.3,2.1,2.3498,1.0225,1.26,0.063,"[0.75, 0.85, 1.63, 1.66, 1.69, 1.7, 2.1, 4.13, 4.21, 4.3]",Home,7,5.0,3211.46
20620,Red Spotty Passport Cover,14,15,2.1,4.3,4.255,4.1043,0.5786,2.553,0.1277,"[2.1, 4.21, 4.3]",Beauty,4,5.0,776.06
20621,Economy Passport Cover,34,208,2.1,4.3,2.1,2.3509,0.6975,1.26,0.063,"[2.1, 4.21, 4.3]",Home,1,3.8,1800.55
20622,Vippassport Cover,135,590,0.75,4.3,2.1,2.6693,1.0238,1.26,0.063,"[0.75, 1.63, 1.66, 1.69, 2.1, 4.13, 4.21, 4.3]",Beauty,9,4.9,4568.74
20652,Blue Spotty Luggage Tag,179,1525,0.15,2.57,1.25,1.4123,0.6074,0.75,0.0375,"[0.15, 0.38, 0.83, 0.85, 0.87, 1.25, 2.46, 2.51, 2.57]",Sports,7,4.8,2054.88
20653,Cherry Blossom Luggage Tag,83,2006,0.15,2.57,1.25,1.408,0.6826,0.75,0.0375,"[0.15, 0.83, 0.85, 0.87, 1.06, 1.25, 2.46, 2.51, 2.57]",Sports,8,3.9,4355.3
20654,First Class Luggage Tag,122,400,0.83,2.57,1.25,1.375,0.4824,0.75,0.0375,"[0.83, 0.85, 1.06, 1.25, 2.46, 2.51, 2.57]",Beauty,9,4.6,2546.5
20655,Queen Of Skies Luggage Tag,198,421,0.83,2.57,1.25,1.7003,0.6592,0.75,0.0375,"[0.83, 0.85, 1.06, 1.25, 2.46, 2.51, 2.57]",Electronics,5,4.3,3181.37
20657,Tropical Luggage Tag,120,1879,0.15,2.57,1.25,1.3218,0.5338,0.75,0.0375,"[0.15, 0.38, 0.85, 0.87, 1.06, 1.25, 2.46, 2.51, 2.57]",Home,3,3.6,1475.96
20658,Red Spotty Luggage Tag,378,1623,1.06,2.57,1.25,1.6764,0.5957,0.75,0.0375,"[1.06, 1.25, 2.46, 2.51, 2.57]",Home,5,2.8,1015.25
20659,Economy Luggage Tag,145,374,0.83,2.57,1.25,1.5628,0.6047,0.75,0.0375,"[0.83, 0.85, 1.06, 1.25, 2.46, 2.51, 2.57]",Beauty,6,4.0,2975.47
20660,Vip Luggage Tag,29,73,1.25,1.25,1.25,1.25,0.0,0.75,0.0375,[1.25],Clothing,2,3.8,3416.32
20661,Blue Spotty Purse,126,900,0.17,6.04,2.51,3.0052,1.1262,1.506,0.0753,"[0.17, 2.46, 2.51, 2.95, 5.79, 5.91, 6.04]",Home,5,3.4,3083.56
20662,First Class Holiday Purse,51,730,0.17,5.79,2.51,2.7104,0.8285,1.506,0.0753,"[0.17, 2.46, 2.51, 2.55, 2.95, 5.79]",Home,10,4.4,4834.1
20663,Queen Of The Skies Holiday Purse,46,1076,0.17,5.79,2.51,2.5748,0.7253,1.506,0.0753,"[0.17, 2.46, 2.51, 2.55, 2.95, 5.79]",Home,11,4.4,4152.27
20664,Tropical Holiday Purse,31,57,2.46,2.95,2.95,2.7129,0.2489,1.77,0.0885,"[2.46, 2.95]",Sports,3,3.6,2179.32
20665,Red Spotty Purse,364,1368,2.46,6.04,2.95,3.8358,1.3805,1.77,0.0885,"[2.46, 2.55, 2.95, 5.79, 5.91, 6.04]",Beauty,11,5.0,118.46
20666,Economy Holiday Purse,46,911,0.17,6.04,2.51,2.4085,1.1887,1.506,0.0753,"[0.17, 0.83, 2.46, 2.51, 2.55, 2.95, 5.91, 6.04]",Beauty,4,4.0,597.12
20667,Cherry Blossom Purse,24,40,2.46,2.95,2.46,2.6438,0.2423,1.476,0.0738,"[2.46, 2.95]",Home,4,4.1,737.36
20668,Disco Ball Christmas Decoration,397,21916,0.1,0.43,0.12,0.1666,0.1117,0.072,0.0036,"[0.1, 0.12, 0.42, 0.43]",Clothing,5,3.2,2424.65
20669,Red Heart Luggage Tag,232,824,0.83,2.57,1.25,1.5994,0.5939,0.75,0.0375,"[0.83, 1.06, 1.25, 2.46, 2.51, 2.57]",Beauty,7,4.6,1627.84
20670,Vip Holiday Purse,48,694,0.17,6.04,2.51,2.8625,1.074,1.506,0.0753,"[0.17, 2.46, 2.51, 2.95, 5.79, 5.91, 6.04]",Sports,10,5.0,4956.68
20671,Blue Teatime Print Bowl,146,797,1.06,2.57,1.25,1.5701,0.5546,0.75,0.0375,"[1.06, 1.25, 2.51, 2.57]",Beauty,10,4.8,1182.7
20672,Pink Teatime Print Bowl,36,138,1.25,2.57,1.25,1.75,0.636,0.75,0.0375,"[1.25, 2.51, 2.57]",Beauty,7,4.1,2578.83
20674,Green Spotty Bowl,476,3462,1.06,2.57,1.25,1.5061,0.5079,0.75,0.0375,"[1.06, 1.25, 2.46, 2.51, 2.57]",Sports,10,3.7,3924.35
20675,Blue Spotty Bowl,707,6573,1.06,3.36,1.25,1.5053,0.5126,0.75,0.0375,"[1.06, 1.24, 1.25, 1.63, 1.66, 2.46, 2.51, 2.57, 3.36]",Home,5,5.0,4082.81
20676,Red Spotty Bowl,992,10674,1.06,3.36,1.25,1.5501,0.563,0.75,0.0375,"[1.06, 1.25, 1.63, 1.66, 2.46, 2.51, 2.57, 3.36]",Clothing,4,4.8,4371.8
20677,Pink Spotty Bowl,784,7907,1.06,3.36,1.25,1.5835,0.5823,0.75,0.0375,"[1.06, 1.24, 1.25, 1.63, 1.66, 2.46, 2.51, 2.57, 3.36]",Sports,7,3.0,3508.65
20679,Edwardian Parasol Red,738,6259,3.0,13.0,5.95,6.6682,2.3114,3.57,0.1785,"[3.0, 4.6, 4.95, 5.95, 12.46, 12.72, 13.0]",Electronics,7,4.2,3707.81
20681,Pink Spotty Childs Umbrella,355,1436,2.75,6.91,3.25,3.8791,1.3633,1.95,0.0975,"[2.75, 3.25, 6.63, 6.77, 6.91]",Beauty,3,3.4,3872.68
20682,Red Spotty Childs Umbrella,610,3131,2.75,6.91,3.25,3.8867,1.3641,1.95,0.0975,"[2.75, 3.24, 3.25, 6.63, 6.77, 6.91]",Electronics,9,3.8,2762.92
20684,Strawberry Dream Childs Umbrella,182,585,2.75,6.91,3.25,3.6316,1.1176,1.95,0.0975,"[2.75, 3.25, 6.77, 6.91]",Beauty,1,3.8,3429.54
20685,Red Spotty Coir Doormat,1769,9974,4.0,16.98,7.95,8.4068,2.6832,4.77,0.2385,"[4.0, 4.58, 5.95, 6.35, 6.75, 7.08, 7.35, 7.46, 7.49, 7.95, 8.0, 8.25, 8.29, 13.57, 13.87, 14.13, 14.43, 15.79, 16.13, 16.63, 16.98]",Sports,10,3.4,3284.82
20686,Dolly Mixture Children'S Umbrella,192,605,2.75,6.91,3.25,3.7545,1.2405,1.95,0.0975,"[2.75, 3.25, 6.63, 6.77, 6.91]",Sports,9,4.4,3194.39
20688,Beauty Speed Expresso Cups,11,464,0.45,13.0,5.95,6.0045,4.0202,3.57,0.1785,"[0.45, 1.95, 5.95, 13.0]",Beauty,8,3.7,4069.76
20689,Retro Sisters Expresso Cups,42,430,0.45,13.0,5.95,6.1712,2.4132,3.57,0.1785,"[0.45, 1.95, 5.06, 5.17, 5.95, 12.72, 13.0]",Home,4,3.3,4558.98
20692,Floral Elephant Soft Toy,144,912,3.75,8.65,4.25,4.8788,1.6172,2.55,0.1275,"[3.75, 4.25, 8.47, 8.65]",Beauty,2,3.0,246.17
20693,Floral Dinosaur Green,18,33,4.25,8.65,4.25,5.2078,1.8443,2.55,0.1275,"[4.25, 8.47, 8.65]",Home,12,3.4,2535.1
20694,Floral Pink Monster,56,167,2.51,7.78,3.75,4.3868,1.9352,2.25,0.1125,"[2.51, 2.57, 3.39, 3.75, 7.46, 7.62, 7.78]",Clothing,10,2.5,3667.72
20695,Floral Blue Monster,62,143,3.36,8.65,4.25,4.8466,1.9747,2.55,0.1275,"[3.36, 3.43, 3.75, 4.25, 8.47, 8.65]",Beauty,6,4.4,2299.41
20696,Floral Soft Car Toy,62,153,3.29,7.78,3.75,4.7223,1.7742,2.25,0.1125,"[3.29, 3.36, 3.75, 7.46, 7.62, 7.78]",Sports,4,4.5,3742.67
20697,Little Green Monster Soft Toy,25,44,2.1,2.55,2.55,2.514,0.1246,1.53,0.0765,"[2.1, 2.55]",Home,9,5.0,4132.36
20698,Little Pink Monster Soft Toy,22,47,2.1,2.55,2.55,2.5091,0.1324,1.53,0.0765,"[2.1, 2.55]",Clothing,2,4.3,2260.39
20699,Mousey Long Legs Soft Toy,95,301,2.1,5.17,2.55,3.1355,1.1012,1.53,0.0765,"[2.1, 2.46, 2.51, 2.55, 5.06, 5.17]",Beauty,9,4.3,2555.65
20700,Green Cat Floral Cushion Cover,104,421,1.25,10.17,4.13,5.469,2.6849,2.478,0.1239,"[1.25, 3.75, 4.13, 4.21, 4.3, 9.96, 10.17]",Sports,9,4.5,2766.89
20701,Pink Cat Floral Cushion Cover,50,353,1.25,10.39,4.13,4.416,1.9135,2.478,0.1239,"[1.25, 3.75, 4.13, 4.21, 4.3, 10.39]",Sports,3,4.3,4421.99
20702,Pink Padded Mobile,257,803,3.75,8.47,4.25,4.3014,0.526,2.55,0.1275,"[3.75, 4.25, 8.29, 8.47]",Beauty,11,4.1,2656.31
20703,Blue Padded Soft Mobile,172,475,3.75,8.47,4.25,4.26,0.3337,2.55,0.1275,"[3.75, 4.25, 8.47]",Beauty,8,3.8,2474.34
20704,Mr Robot Soft Toy,80,361,1.95,14.43,6.95,6.3709,3.5153,4.17,0.2085,"[1.95, 2.95, 5.91, 6.04, 6.35, 6.95, 14.13, 14.43]",Clothing,12,5.0,4496.41
20705,Mrs Robot Soft Toy,53,273,1.95,6.95,6.95,5.4262,2.1734,4.17,0.2085,"[1.95, 2.95, 5.91, 6.35, 6.95]",Clothing,8,3.6,4251.8
20707,Crazy Daisy Heart Decoration,203,1616,0.38,2.57,0.83,1.2306,0.6182,0.498,0.0249,"[0.38, 0.83, 1.06, 1.25, 2.46, 2.51, 2.57]",Home,2,3.0,3270.49
20711,Jumbo Bag Toys,1066,12838,1.3,5.06,2.015,2.7269,1.0609,1.209,0.0604,"[1.3, 1.33, 1.38, 1.65, 1.79, 1.95, 2.08, 4.13, 4.21, 4.3, 5.06]",Beauty,3,4.6,3820.16
20712,Jumbo Bag Woodland Animals,1449,17957,1.65,5.06,2.08,2.7379,1.0594,1.248,0.0624,"[1.65, 1.74, 1.75, 1.79, 1.95, 2.08, 4.13, 4.21, 4.3, 4.96, 5.06]",Electronics,2,4.0,3559.12
20713,Jumbo Bag Owls,1360,21199,1.65,5.06,1.95,2.5778,0.999,1.17,0.0585,"[1.65, 1.74, 1.75, 1.79, 1.95, 2.08, 4.13, 4.21, 4.3, 5.06]",Clothing,1,3.8,2365.75
20714,Posy Shopper Bag,28,1580,0.38,2.57,0.87,0.9468,0.6453,0.522,0.0261,"[0.38, 0.85, 0.87, 1.25, 2.57]",Sports,2,4.8,4806.22
20716,Party Food Shopper Bag,254,1539,0.83,2.57,1.25,1.4504,0.5387,0.75,0.0375,"[0.83, 1.06, 1.25, 2.46, 2.51, 2.57]",Clothing,9,3.9,3923.33
20717,Strawberry Shopper Bag,781,6342,0.83,3.36,1.25,1.5981,0.6127,0.75,0.0375,"[0.83, 0.85, 1.06, 1.25, 2.46, 2.51, 2.57, 3.36]",Electronics,3,4.3,862.1
20718,Red Spotty Shopper Bag,1233,13489,1.06,3.36,1.25,1.6559,0.7063,0.75,0.0375,"[1.06, 1.25, 2.46, 2.51, 2.57, 3.29, 3.36]",Sports,8,2.3,102.4
20719,Woodland Charlotte Bag,1621,24945,0.72,2.51,0.85,1.1518,0.4979,0.51,0.0255,"[0.72, 0.85, 1.63, 1.66, 1.7, 1.95, 2.46, 2.51]",Electronics,9,5.0,3015.45
20723,Strawberry Charlotte Bag,1420,18485,0.64,2.51,0.85,1.1376,0.5138,0.51,0.0255,"[0.64, 0.65, 0.72, 0.85, 1.63, 1.66, 1.7, 2.46, 2.51]",Sports,3,4.2,3057.97
20724,Red Spotty Charlotte Bag,2094,32487,0.72,5.63,0.85,1.1037,0.4884,0.51,0.0255,"[0.72, 0.85, 1.63, 1.66, 1.7, 1.95, 2.46, 2.51, 5.63]",Sports,8,4.8,2135.52
20725,Lunch Bag Red Spotty,3179,40942,1.19,8.33,1.65,2.0612,1.0105,0.99,0.0495,"[1.19, 1.44, 1.45, 1.65, 3.3, 4.13, 4.21, 4.3, 4.95, 4.96, 5.06, 8.33]",Home,12,3.9,99.05
20726,Lunch Bag Woodland,2009,22341,1.45,8.33,1.65,2.1098,1.0533,0.99,0.0495,"[1.45, 1.65, 4.13, 4.21, 4.3, 4.96, 5.06, 8.33]",Sports,10,3.5,1031.43
20727,Lunch Bag  Black Skull.,2484,27126,1.19,8.33,1.65,2.0196,0.9777,0.99,0.0495,"[1.19, 1.45, 1.65, 4.13, 4.21, 4.3, 4.96, 5.06, 8.33]",Beauty,6,5.0,4622.37
20728,Lunch Bag Cars Blue,2141,24892,1.19,5.06,1.65,1.9728,0.9118,0.99,0.0495,"[1.19, 1.45, 1.65, 4.13, 4.21, 4.3, 4.95, 4.96, 5.06]",Electronics,3,4.5,537.0
20729,Red Spotty Candy Bag,121,5262,0.15,2.57,1.25,1.4021,0.596,0.75,0.0375,"[0.15, 0.85, 0.87, 1.06, 1.25, 2.51, 2.57]",Beauty,1,5.0,572.81
20730,Strawberry Candy Bag,102,2218,0.15,2.57,0.87,1.0863,0.397,0.522,0.0261,"[0.15, 0.85, 0.87, 1.06, 1.25, 2.57]",Clothing,3,5.0,3325.22
20731,Posy Candy Bag,74,4143,0.15,2.51,1.25,1.4004,0.6472,0.75,0.0375,"[0.15, 0.38, 0.83, 1.06, 1.25, 2.51]",Electronics,7,3.4,3156.03
20733,Gold Mini Tape Measure,310,1961,0.42,1.7,0.85,0.8517,0.1558,0.51,0.0255,"[0.42, 0.72, 0.83, 0.85, 1.63, 1.66, 1.7]",Sports,11,4.8,2914.21
20734,Silver Mini Tape Measure,120,1598,0.72,2.51,0.85,1.336,0.6296,0.51,0.0255,"[0.72, 0.85, 1.63, 1.66, 1.7, 2.51]",Clothing,12,4.8,1395.25
20735,Black Mini Tape Measure,214,1545,0.42,2.51,0.85,1.2008,0.5779,0.51,0.0255,"[0.42, 0.72, 0.83, 0.85, 1.63, 1.66, 1.7, 2.51]",Sports,8,4.4,1215.14
20736,Pink Mini Tape Measure,20,291,0.72,0.85,0.85,0.8435,0.0291,0.51,0.0255,"[0.72, 0.85]",Beauty,2,4.4,11.05
20738,Green Mini Tape Measure,74,1610,0.72,2.51,0.85,0.9546,0.348,0.51,0.0255,"[0.72, 0.85, 1.66, 1.7, 2.51]",Beauty,10,3.7,2484.72
20747,Piccadilly Tea Set,109,684,12.72,30.39,14.95,15.7166,4.7278,8.97,0.4485,"[12.72, 12.75, 14.95, 29.74, 30.39]",Clothing,7,5.0,4752.58
20748,Kensington Coffee Set,187,1604,3.95,26.04,12.75,12.3911,4.6339,7.65,0.3825,"[3.95, 8.47, 8.65, 10.95, 12.75, 24.96, 25.49, 26.04]",Sports,11,4.1,1572.07
20749,Assorted Colour Mini Cases,800,3156,6.09,17.35,7.95,8.0821,1.7124,4.77,0.2385,"[6.09, 6.35, 7.95, 16.63, 16.98, 17.35]",Sports,10,5.0,356.19
20750,Red/White Dot Mini Cases,941,3777,6.09,17.35,7.95,8.1332,1.8412,4.77,0.2385,"[6.09, 6.35, 7.95, 16.63, 16.98, 17.35]",Sports,12,2.7,2307.78
20751,Funky Washing Up Gloves Assorted,559,2941,1.69,4.3,2.1,2.3025,0.6244,1.26,0.063,"[1.69, 2.1, 4.13, 4.21, 4.3]",Home,5,4.4,392.6
20752,Retro Blue Spotty Washing Up Gloves,374,1536,0.85,4.3,2.1,2.3941,0.7262,1.26,0.063,"[0.85, 2.1, 2.46, 2.51, 2.57, 4.13, 4.21, 4.3]",Beauty,5,3.9,1211.34
20753,Retro Pink Spot Washing Up Gloves,56,218,0.5,4.3,2.1,2.6607,1.023,1.26,0.063,"[0.5, 2.1, 4.3]",Sports,9,4.8,313.53
20754,Retro Red Spotty Washing Up Gloves,883,5159,1.69,4.3,2.1,2.4967,0.8406,1.26,0.063,"[1.69, 2.1, 4.13, 4.21, 4.3]",Clothing,8,4.3,4762.88
20755,Blue Paisley Pocket Book,128,5162,0.1,1.7,0.85,0.918,0.3037,0.51,0.0255,"[0.1, 0.64, 0.65, 0.85, 1.63, 1.66, 1.7]",Sports,7,5.0,977.11
20756,Green Fern Pocket Book,65,5734,0.1,1.7,0.85,0.8068,0.2011,0.51,0.0255,"[0.1, 0.64, 0.65, 0.85, 1.66, 1.7]",Electronics,3,4.6,702.68
20757,Red Daisy Pocket Book,86,5375,0.1,1.7,0.85,0.8445,0.2309,0.51,0.0255,"[0.1, 0.64, 0.65, 0.85, 1.63, 1.66, 1.7]",Sports,8,3.6,1584.77
20758,Abstract Circles Pocket Book,100,5441,0.1,1.7,0.85,0.8199,0.1639,0.51,0.0255,"[0.1, 0.64, 0.65, 0.85, 1.66, 1.7]",Home,10,3.8,1000.76
20759,Chrysanthemum Pocket Book,65,5782,0.1,0.85,0.85,0.7749,0.1281,0.51,0.0255,"[0.1, 0.64, 0.65, 0.85]",Home,3,3.5,4757.88
